Title,Issue,Pedigree,Publisher,Year,Grader,Grade,Page Quality
All-Flash,2,Mile High pedigree,DC,1941,CGC,NM+ 9.6,Off-white pages.
All-New Comics,9,Mile High pedigree,Harvey,1944,CGC,NM 9.4,White pages.
Boy Comics,14,Mile High pedigree,Lev Gleason,1944,CGC,NM- 9.2,White pages.
Boy Commandos,3,Mile High pedigree,DC,1943,CGC,NM 9.4,Off-white to white pages.
Brenda Starr,14 (#2),Mile High pedigree,Four Star,1948,CGC,NM 9.4,Off-white pages.
Brenda Starr V2,5,Mile High pedigree,Four Star,1948,CGC,NM- 9.2,White pages.
Bulletman,10,Mile High pedigree,Fawcett,1942,CGC,NM 9.4,White pages.
Captain Midnight,24,Mile High pedigree,Fawcett,1944,CGC,NM 9.4,Off-white pages.
Colossus Comics,1,Mile High pedigree,Sun Publications,1940,CGC,NM 9.4,White pages.
Comic Cavalcade,16,Mile High pedigree,DC,1946,CGC,VF+ 8.5,White pages.
Cowgirl Romances,1,Mile High pedigree,Fiction House,1950,CGC,NM 9.4,White pages.
Cowgirl Romances,8,Mile High pedigree,Fiction House,1952,CGC,NM 9.4,White pages.
Criminals on the Run V5,2,Mile High pedigree,Curtis,1949,CGC,VF+ 8.5,Off-white pages.
Crown Comics,4,Mile High pedigree,Golfing, Inc.,1945,CGC,NM 9.4,Off-white to white pages.
Crown Comics,6,Mile High pedigree,Golfing, Inc.,1946,CGC,VF+ 8.5,Off-white to white pages.
Cyclone Comics,5,Mile High pedigree,Bilbara,1940,CGC,NM 9.4,Off-white to white pages.
Dale Evans Comics,19,Mile High pedigree,DC,1951,CGC,VF/NM 9.0,White pages.
Daredevil Comics,39,Mile High pedigree,Lev Gleason,1946,CGC,NM 9.4,White pages.
Daredevil Comics,44,Mile High pedigree,Lev Gleason,1947,CGC,NM 9.4,Off-white pages.
Dark Mysteries,4,Mile High pedigree,Master Publications,1952,CGC,VF+ 8.5,White pages.
Dark Mysteries,5,Mile High pedigree,Master Publications,1952,CGC,VF+ 8.5,White pages.
Doc Savage Comics v2,8,Mile High pedigree,Street & Smith,1943,CGC,NM 9.4,Off-white to white pages.
Don Winslow of the Navy,37,Mile High pedigree,Fawcett,1946,CGC,NM/MT 9.8,Off-white to white pages.
Don Winslow of the Navy,51,Mile High pedigree,Fawcett,1947,CGC,NM+ 9.6,Off-white to white pages.
Don Winslow,53,Mile High pedigree,Fawcett,1948,CGC,NM 9.4,Off-white to white pages.
Dutch Boy and the Haunted House,nn,Mile High pedigree,National Lead Co.,no date listed,CGC,NM 9.4,Off-white to white pages.
Fairy Tale Parade,8,Mile High pedigree,Dell,1943,CGC,NM- 9.2,White pages.
Famous Funnies,72,Mile High pedigree,Eastern Color,1940,CGC,NM 9.4,Off-white pages.
Fighting Yank,18,Mile High pedigree,Nedor Publications,1946,CGC,VF/NM 9.0,Off-white pages.
First Love Illustrated,2,Mile High pedigree,Harvey,1949,CGC,NM+ 9.6,White pages.
Flash Comics,24,Mile High pedigree,DC,1941,CGC,NM 9.4,White pages.
Flash Comics,67,Mile High pedigree,DC,1945,CGC,NM 9.4,White pages.
Flash Comics,92,Mile High pedigree,DC,1948,CGC,NM- 9.2,White pages.
Flash Comics,96,Mile High pedigree,DC,1948,CGC,NM 9.4,White pages.
Flash Comics,98,Mile High pedigree,DC,1948,CGC,NM+ 9.6,White pages.
Four Color,88,Bugs Bunny's Great Adventure - Mile High pedigree,Dell,1945,CGC,VF/NM 9.0,Off-white pages.
Four Favorites,27,Mile High pedigree,Ace,1947,CGC,VF/NM 9.0,Off-white to white pages.
Funnies,60,Mile High pedigree,Dell,1941,CGC,NM+ 9.6,Off-white to white pages.
Gang Busters,2,Mile High pedigree,DC,1948,CGC,NM+ 9.6,Off-white to white pages.
Gay Comics,19,Mile High Pedigree,Timely,1944,CGC,NM 9.4,White pages.
Gene Autry Comics,9,Mile High pedigree,Fawcett,1943,CGC,NM+ 9.6,Off-white to white pages.
